trip_id,user_id,start_time,distance_km
1,1258,2024-05-21T11:43:00.000000,89.36368821445666
2,919,2024-09-20T15:19:00.000000,97.0979113739564
3,9261,2024-09-04T05:47:00.000000,489.10680410640634
4,2231,2024-09-02T15:27:00.000000,233.49001506733424
5,1785,2024-08-20T11:49:00.000000,311.28201102513026
6,6063,2024-10-09T01:15:00.000000,150.47548259538158
7,3151,2024-06-05T15:42:00.000000,485.3231511916192
8,5494,2024-09-29T09:28:00.000000,207.17181825423648
9,3089,2024-10-02T10:09:00.000000,340.82979590969467
10,4099,2024-11-25T13:19:00.000000,93.00224737534788
11,6853,2024-02-26T19:45:00.000000,399.0854569540535
12,3465,2024-07-30T21:20:00.000000,422.5312837799033
13,8315,2024-11-27T02:31:00.000000,110.35339726166961
14,3562,2024-11-20T11:52:00.000000,403.416687395318
15,5902,2024-03-01T11:31:00.000000,317.1449830253747
16,7565,2024-10-11T03:23:00.000000,457.21345209655857
17,7152,2024-10-26T02:20:00.000000,353.90267519422036
18,470,2024-02-03T05:01:00.000000,232.04369567185233
19,7500,2024-08-19T05:00:00.000000,207.4905450633967
20,8415,2024-09-29T00:45:00.000000,352.77122814214823
21,2118,2024-09-05T05:20:00.000000,485.4665628106811
22,3758,2024-06-27T00:14:00.000000,329.0014659932728
23,1374,2024-03-14T14:39:00.000000,243.37833285108746
24,9727,2024-11-26T06:43:00.000000,137.45240005178715
25,8910,2024-12-11T04:08:00.000000,464.9712446576968
26,1560,2024-06-10T20:28:00.000000,51.53540152355595
27,2193,2024-06-20T14:39:00.000000,354.59202393188826
28,4812,2024-08-12T18:38:00.000000,214.2301720472976
29,1259,2024-02-11T20:38:00.000000,380.893431788266
30,20,2024-07-11T06:28:00.000000,339.97417848164696
31,5713,2024-12-11T21:32:00.000000,178.39786998553498
32,1837,2024-09-16T05:43:00.000000,189.02115103253942
33,7614,2024-02-03T15:21:00.000000,202.06212357079696
34,7673,2024-05-15T17:10:00.000000,106.19039354190065
35,605,2024-01-13T21:49:00.000000,416.2547580837228
36,9172,2024-06-19T15:00:00.000000,264.3474050860451
37,1152,2024-05-18T22:11:00.000000,184.4032246962376
38,5574,2024-07-20T16:34:00.000000,59.94140380017607
39,9281,2024-05-03T13:57:00.000000,78.3959476385691
40,1044,2024-11-04T13:01:00.000000,380.7859540482957
41,3211,2024-06-08T20:36:00.000000,488.96026109376567
42,8686,2024-04-27T00:16:00.000000,208.88369429599612
43,3322,2024-03-19T11:46:00.000000,303.9280768089893
44,5582,2024-07-13T05:41:00.000000,437.7455694437563
45,9842,2024-10-21T16:29:00.000000,174.89508438863956
46,7416,2024-04-14T21:38:00.000000,473.2360516414442
47,1061,2024-06-30T21:37:00.000000,274.7267078442431
48,405,2024-02-01T06:03:00.000000,226.33442368938617
49,8756,2024-01-27T20:08:00.000000,394.5344952213192
50,1855,2024-01-15T10:34:00.000000,297.4606382404953
51,5840,2024-06-27T08:57:00.000000,75.82330939684564
52,268,2024-07-30T23:39:00.000000,406.3477396531963
53,8921,2024-02-20T22:33:00.000000,193.62410891861728
54,3138,2024-01-04T08:26:00.000000,290.0316970161236
55,1638,2024-01-11T22:00:00.000000,25.11418926851118
56,897,2024-05-10T13:04:00.000000,83.83920171624206
57,9967,2024-03-18T15:55:00.000000,402.03748900609116
58,470,2024-11-23T04:58:00.000000,387.1591320086712
59,4407,2024-05-29T04:02:00.000000,212.62995531507445
60,2671,2024-09-20T20:54:00.000000,332.02738329393515
61,351,2024-03-01T23:55:00.000000,429.98406692992324
62,7178,2024-07-01T11:17:00.000000,332.8105675425084
63,7978,2024-01-17T13:00:00.000000,219.44418510897657
64,556,2024-04-01T07:30:00.000000,170.06448650803492
65,6861,2024-07-12T15:52:00.000000,325.8332178243051
66,7746,2024-03-17T08:40:00.000000,203.92215833866408
67,393,2024-01-11T19:43:00.000000,72.7685938486749
68,865,2024-05-23T12:58:00.000000,289.47034702418875
69,4431,2024-06-08T02:35:00.000000,362.9877052189925
70,1085,2024-03-20T08:52:00.000000,422.97296936357867
71,5021,2024-03-07T07:35:00.000000,347.5941999817709
72,8713,2024-09-07T20:06:00.000000,477.2066055629621
73,9691,2024-10-13T22:40:00.000000,280.65323404937584
74,4983,2024-10-21T05:48:00.000000,39.54805291692332
75,7091,2024-11-25T14:56:00.000000,290.07461843669915
76,7819,2024-09-19T18:58:00.000000,132.2337518506526
77,3426,2024-04-19T15:52:00.000000,294.82057562189556
78,7153,2024-09-20T08:16:00.000000,243.47566958293083
79,7919,2024-06-22T07:31:00.000000,178.80546466420418
80,8026,2024-04-10T13:26:00.000000,103.85639841883504
81,2103,2024-06-12T00:49:00.000000,20.55279824886022
82,9958,2024-08-27T17:49:00.000000,411.19121396876426
83,7913,2024-11-21T04:50:00.000000,290.1101944701492
84,6414,2024-09-06T00:35:00.000000,124.29531258697726
85,5913,2024-11-18T23:20:00.000000,260.3444353947174
86,4432,2024-09-03T01:16:00.000000,45.49183723708197
87,2650,2024-09-27T21:46:00.000000,86.01244435806794
88,5607,2024-04-05T01:23:00.000000,258.61506346168653
89,8625,2024-03-01T20:40:00.000000,186.39526113491604
90,6108,2024-03-19T07:07:00.000000,259.5703077253138
91,3473,2024-01-17T16:30:00.000000,354.93648604147086
92,6240,2024-08-21T02:44:00.000000,22.946745754560666
93,8871,2024-08-18T17:40:00.000000,443.94505595893753
94,1121,2024-02-15T18:19:00.000000,475.1664407230297
95,9212,2024-01-06T11:55:00.000000,105.52550827402423
96,4442,2024-02-19T02:13:00.000000,93.75968728826032
97,6996,2024-08-08T15:24:00.000000,492.23487843129857
98,6383,2024-02-20T08:55:00.000000,195.29638809451757
99,3048,2024-08-17T09:01:00.000000,370.2985646361306
100,6212,2024-12-04T04:38:00.000000,190.80145552062808
101,2806,2024-03-14T00:29:00.000000,184.54710874758186
102,118,2024-03-23T13:42:00.000000,130.48707734912992
103,1671,2024-08-19T21:48:00.000000,133.1584326314628
104,5731,2024-06-04T01:00:00.000000,70.55621115857583
105,9773,2024-10-07T19:14:00.000000,256.8857706714452
106,5158,2024-01-04T11:30:00.000000,373.1108661656694
107,648,2024-07-17T13:43:00.000000,157.71884325936406
108,6366,2024-05-15T00:16:00.000000,61.219656319425994
109,4228,2024-07-02T23:15:00.000000,379.65759336299703
110,5885,2024-11-04T23:25:00.000000,290.3320794589262
111,6634,2024-10-10T02:58:00.000000,25.97904147415901
112,2000,2024-03-24T05:52:00.000000,376.75789403347113
113,6436,2024-10-14T23:51:00.000000,237.47773494839484
114,3482,2024-08-01T22:57:00.000000,156.3674003878357
115,678,2024-04-04T16:37:00.000000,134.40396107245334
116,4961,2024-08-16T13:35:00.000000,148.5760986000795
117,6620,2024-07-17T14:03:00.000000,295.03904272583213
118,6598,2024-11-24T12:39:00.000000,185.7483719598704
119,7227,2024-09-14T15:51:00.000000,166.376565665239
120,6712,2024-05-31T19:04:00.000000,356.8332211430062
121,7636,2024-08-07T11:21:00.000000,331.8835482209964
122,5767,2024-07-25T09:51:00.000000,95.52812797038071
123,4014,2024-05-29T04:52:00.000000,65.55581038457227
124,9220,2024-09-28T09:36:00.000000,293.1436806418593
125,3986,2024-11-08T11:55:00.000000,52.824606243032235
126,112,2024-08-02T06:29:00.000000,181.20730871257823
127,25,2024-07-11T16:02:00.000000,141.05863710474003
128,4795,2024-10-15T13:17:00.000000,125.58752860570954
129,8391,2024-10-10T08:18:00.000000,68.65518255983525
130,5278,2024-07-25T01:12:00.000000,379.5239778856746
131,4332,2024-05-19T03:32:00.000000,424.2264678082866
132,8516,2024-06-21T21:38:00.000000,395.19950344109384
133,4779,2024-07-12T02:29:00.000000,400.81071407912384
134,2774,2024-06-03T18:40:00.000000,215.57308212748072
135,9287,2024-05-04T12:28:00.000000,364.46488455750324
136,5080,2024-05-31T15:22:00.000000,18.539399530182678
137,5199,2024-06-04T02:53:00.000000,296.7036339260221
138,8445,2024-11-23T00:15:00.000000,74.17669611263227
139,7003,2024-03-10T10:59:00.000000,315.5358232496491
140,2748,2024-12-11T17:22:00.000000,67.31865900929961
141,5040,2024-05-20T17:58:00.000000,489.71056700004357
142,8474,2024-01-13T20:28:00.000000,309.2220515952503
143,4148,2024-04-20T05:35:00.000000,239.51097461290277
144,4992,2024-02-12T15:47:00.000000,107.73562146677708
145,3646,2024-07-07T14:20:00.000000,149.42104185359867
146,2587,2024-05-05T21:06:00.000000,236.74995221206046
