event_id,trip_id,station_id,kwh_charged,cost_eur,is_successful
1,1,123,24.771230865747903,34.31730636092718,true
2,2,87,59.674808872356365,32.973047848208985,true
3,3,341,59.144464248355426,23.747155173289425,true
4,4,284,26.9149743592607,26.677064104760404,false
5,5,450,48.267808852584466,7.997512592863444,true
6,6,169,52.19245736804434,9.527696078339428,true
7,7,325,29.30606844810273,22.567834098692288,false
8,8,21,39.71727486170016,43.5590564936768,true
9,9,230,34.27129133652602,2.012383187665793,false
10,10,213,39.522635296041045,7.527882986939173,false
11,11,283,48.682309680097816,41.67298915613208,true
12,12,194,40.011106290983946,37.51749109701026,true
13,13,381,50.35329992095727,27.372252295504012,true
14,14,276,48.05411878298885,30.97922916775754,true
15,15,480,11.608717430620855,39.6006074302504,true
16,16,424,17.050048933603925,11.728066013143364,true
17,17,467,14.749199864270212,5.220875172898317,true
18,18,46,6.312286507580152,18.586984780893587,true
19,19,426,43.076363560356334,23.764076809707852,true
20,20,223,59.050760203022605,15.914425042333317,true
21,21,228,19.896164201217545,6.7036538373432855,true
22,22,308,58.479458172270746,21.155175584993188,true
23,23,469,40.65556601752774,3.785321825271173,true
24,24,165,58.03743635929586,23.188704771874683,true
25,25,496,57.81589921042628,43.089817579883835,true
26,26,104,6.904626022796435,42.388448593855706,true
27,27,170,14.841751341469639,38.452214022442604,true
28,28,57,20.612777493004288,42.17942464008358,true
29,29,273,37.302867066696244,18.069001081577447,true
30,30,286,41.31369880692945,30.87388107691272,true
31,31,365,48.03362472780317,32.11125792446584,true
32,32,486,41.344909129048446,31.48162177015183,true
33,33,274,53.03108118424161,36.877017216417336,true
34,34,478,27.178113542119867,4.487428111924949,true
35,35,491,59.58778431649111,39.38626025330938,true
36,36,329,10.217430097486565,44.951104472798285,true
37,37,325,46.20298282787046,9.903103820574152,true
38,38,491,47.2101338786887,44.49337926434363,true
39,39,497,21.79188996974733,31.740820412469926,true
40,40,317,6.541931625699036,2.698803071854237,true
